name,type,specification,interface,chrome_version,status,feature_id,mdn_url,platform_status_url
"AudioDecoder",Interface,WebCodecs,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/AudioDecoder",""
"AudioEncoder",Interface,WebCodecs,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/AudioEncoder",""
"VideoColorSpace",Interface,WebCodecs,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/VideoColorSpace",""
"ImageDecoder",Interface,WebCodecs,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/ImageDecoder",""
"ImageTrackList",Interface,WebCodecs,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/ImageTrackList",""
"ImageTrack",Interface,WebCodecs,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/ImageTrack",""
"VideoFrame.colorSpace",Property,WebCodecs,VideoFrame,94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/VideoFrame/colorSpace",""
"VideoFrame.metadata()",Method,WebCodecs,VideoFrame,120,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/VideoFrame/metadata",""
"VideoFrame.flip",Property,WebCodecs,VideoFrame,120,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/VideoFrame/flip",""
"VideoFrame.rotation",Property,WebCodecs,VideoFrame,120,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/VideoFrame/rotation",""
"Screen Capture API",Specification,Screen Capture,"",72,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Screen_Capture_API",""
"MediaDevices.getDisplayMedia()",Method,Screen Capture,MediaDevices,72,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/MediaDevices/getDisplayMedia",""
"getDisplayMedia {audio}",Parameter,Screen Capture,"",74,Stable,"","",""
"getDisplayMedia {video.displaySurface}",Constraint,Screen Capture,"",89,Stable,"","",""
"getDisplayMedia {video.logicalSurface}",Constraint,Screen Capture,"",89,Stable,"","",""
"getDisplayMedia {video.suppressLocalAudioPlayback}",Constraint,Screen Capture,"",89,Stable,"","",""
"getDisplayMedia {preferCurrentTab}",Parameter,Screen Capture,"",94,Stable,"","",""
"getDisplayMedia {selfBrowserSurface}",Parameter,Screen Capture,"",107,Stable,"","",""
"getDisplayMedia {surfaceSwitching}",Parameter,Screen Capture,"",107,Stable,"","",""
"getDisplayMedia {systemAudio}",Parameter,Screen Capture,"",107,Stable,"","",""
"getDisplayMedia {monitorTypeSurfaces}",Parameter,Screen Capture,"",119,Stable,"","",""
"getDisplayMedia {controller}",Parameter,Screen Capture,"",116,Stable,"","",""
"getDisplayMedia {windowAudio}",Parameter,Screen Capture,"",120,Stable,"","",""
"CaptureController",Interface,Screen Capture,"",116,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/CaptureController",""
"CaptureController.setFocusBehavior()",Method,Screen Capture,CaptureController,116,Stable,"","",""
"CaptureController.forwardWheel()",Method,Captured Surface Control,CaptureController,120,Stable,"","",""
"CaptureController.increaseZoomLevel()",Method,Captured Surface Control,CaptureController,120,Stable,"","",""
"CaptureController.decreaseZoomLevel()",Method,Captured Surface Control,CaptureController,120,Stable,"","",""
"CaptureController.resetZoomLevel()",Method,Captured Surface Control,CaptureController,120,Stable,"","",""
"BrowserCaptureMediaStreamTrack",Interface,Region Capture,"",104,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/BrowserCaptureMediaStreamTrack",""
"BrowserCaptureMediaStreamTrack.cropTo()",Method,Region Capture,BrowserCaptureMediaStreamTrack,104,Stable,"","",""
"BrowserCaptureMediaStreamTrack.restrictTo()",Method,Element Capture,BrowserCaptureMediaStreamTrack,120,Stable,"","",""
"CropTarget",Interface,Region Capture,"",104,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/CropTarget",""
"CropTarget.fromElement()",StaticMethod,Region Capture,CropTarget,104,Stable,"","",""
"RestrictionTarget",Interface,Element Capture,"",120,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/RestrictionTarget",""
"RestrictionTarget.fromElement()",StaticMethod,Element Capture,RestrictionTarget,120,Stable,"","",""
"Window Management API",Specification,Window Management,"",100,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Window_Management_API","https://chromestatus.com/feature/5173624869142528"
"ScreenDetails",Interface,Window Management,"",100,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/ScreenDetails",""
"ScreenDetailed",Interface,Window Management,"",100,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/ScreenDetailed",""
"Window.getScreenDetails()",Method,Window Management,Window,100,Stable,"","",""
"ScreenDetails.currentScreen",Property,Window Management,ScreenDetails,100,Stable,"","",""
"ScreenDetails.screens",Property,Window Management,ScreenDetails,100,Stable,"","",""
"ScreenDetails.screenschange",Event,Window Management,ScreenDetails,100,Stable,"","",""
"ScreenDetails.currentscreenchange",Event,Window Management,ScreenDetails,100,Stable,"","",""
"Screen.isExtended",Property,Window Management,Screen,100,Stable,"","",""
"Element.requestFullscreen() {screen}",Parameter,Window Management,Element,100,Stable,"","",""
"Insertable Streams API",Specification,Insertable Streams for MediaStreamTrack,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Insertable_Streams_for_MediaStreamTrack_API",""
"MediaStreamTrackProcessor",Interface,Insertable Streams,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/MediaStreamTrackProcessor",""
"VideoTrackGenerator",Interface,Insertable Streams,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/VideoTrackGenerator",""
"MediaStreamTrackGenerator",Interface,Insertable Streams,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/MediaStreamTrackGenerator",""
"WebRTC Encoded Transform",Specification,WebRTC Encoded Transform,"",96,Stable,"","",""
"RTCRtpScriptTransform",Interface,WebRTC Encoded Transform,"",96,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/RTCRtpScriptTransform",""
"RTCRtpScriptTransformer",Interface,WebRTC Encoded Transform,"",96,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/RTCRtpScriptTransformer",""
"RTCEncodedVideoFrame",Interface,WebRTC Encoded Transform,"",96,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/RTCEncodedVideoFrame",""
"RTCEncodedAudioFrame",Interface,WebRTC Encoded Transform,"",96,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/RTCEncodedAudioFrame",""
"RTCRtpSender.transform",Property,WebRTC Encoded Transform,RTCRtpSender,96,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/RTCRtpSender/transform",""
"RTCRtpReceiver.transform",Property,WebRTC Encoded Transform,RTCRtpReceiver,96,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/RTCRtpReceiver/transform",""
"RTCTransformEvent",Interface,WebRTC Encoded Transform,"",96,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/RTCTransformEvent",""
"rtctransform",Event,WebRTC Encoded Transform,WorkerGlobalScope,96,Stable,"","",""
"RTCRtpSender.getCapabilities()",StaticMethod,WebRTC,RTCRtpSender,72,Stable,"","",""
"RTCRtpReceiver.getCapabilities()",StaticMethod,WebRTC,RTCRtpReceiver,72,Stable,"","",""
"RTCRtpSender.setStreams()",Method,WebRTC,RTCRtpSender,72,Stable,"","",""
"RTCPeerConnection.addTransceiver()",Method,WebRTC,RTCPeerConnection,72,Stable,"","",""
"RTCPeerConnection.restartIce()",Method,WebRTC,RTCPeerConnection,72,Stable,"","",""
"RTCPeerConnection.sctp",Property,WebRTC,RTCPeerConnection,76,Stable,"","",""
"RTCPeerConnection.getStats() (spec-compliant)",Method,WebRTC,RTCPeerConnection,72,Stable,"","",""
"RTCRtpEncodingParameters.scalabilityMode",DictionaryMember,WebRTC,RTCRtpEncodingParameters,91,Stable,"","",""
"RTCConfiguration.encodedInsertableStreams",DictionaryMember,WebRTC,RTCConfiguration,96,Experimental,"","",""
"RTCRtpReceiver.jitterBufferTarget",Property,WebRTC,RTCRtpReceiver,102,Stable,"","",""
"RTCPeerConnection.connectionState",Property,WebRTC,RTCPeerConnection,72,Stable,"","",""
"icecandidateerror",Event,WebRTC,RTCPeerConnection,72,Stable,"","",""
"selectedcandidatepairchange",Event,WebRTC,RTCIceTransport,72,Stable,"","",""
"MediaCapabilities API",Specification,Media Capabilities,"",72,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/MediaCapabilities",""
"MediaCapabilities.encodingInfo()",Method,Media Capabilities,MediaCapabilities,101,Stable,"","",""
"MediaCapabilities.decodingInfo()",Method,Media Capabilities,MediaCapabilities,72,Stable,"","",""
"MediaTrackConstraints.resizeMode",Constraint,Media Capture and Streams,"",72,Stable,"","",""
"MediaTrackConstraints.backgroundBlur",Constraint,Media Capture and Streams,"",120,Experimental,"","",""
"MediaTrackSettings.screenPixelRatio",Property,Screen Capture,MediaTrackSettings,89,Stable,"","",""
"MediaStreamTrack.contentHint",Property,Media Capture and Streams,MediaStreamTrack,72,Stable,"","",""
"MediaRecorder",Interface,MediaStream Recording,"",72,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/MediaRecorder",""
"devicechange",Event,Media Capture and Streams,MediaDevices,72,Stable,"","",""
"scrollend",Event,CSSOM View,Document,114,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Document/scrollend_event",""
"Element.scrollend",Event,CSSOM View,Element,114,Stable,"","",""
"View Transition API",Specification,CSS View Transitions,"",111,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/View_Transition_API","https://chromestatus.com/feature/5127289826369536"
"Document.startViewTransition()",Method,CSS View Transitions,Document,111,Stable,"","",""
"ViewTransition",Interface,CSS View Transitions,"",111,Stable,"","",""
"@view-transition",AtRule,CSS View Transitions,"",111,Stable,"","",""
"view-transition-name",Property,CSS View Transitions,"",111,Stable,"","",""
"::view-transition",PseudoElement,CSS View Transitions,"",111,Stable,"","",""
"PageRevealEvent",Interface,CSS View Transitions,"",126,Stable,"","",""
"PageSwapEvent",Interface,CSS View Transitions,"",126,Stable,"","",""
"pageswap",Event,CSS View Transitions,Window,126,Stable,"","",""
"pagereveal",Event,CSS View Transitions,Window,126,Stable,"","",""
"Summarizer API",Specification,Writing Assistance APIs,"",131,OriginTrial,"","https://developer.mozilla.org/en-US/docs/Web/API/Summarizer_API",""
"Summarizer",Interface,Writing Assistance APIs,"",131,OriginTrial,"","https://developer.mozilla.org/en-US/docs/Web/API/Summarizer",""
"Summarizer.create()",StaticMethod,Writing Assistance APIs,Summarizer,131,OriginTrial,"","",""
"Summarizer.summarize()",Method,Writing Assistance APIs,Summarizer,131,OriginTrial,"","",""
"Summarizer.summarizeStreaming()",Method,Writing Assistance APIs,Summarizer,131,OriginTrial,"","",""
"Summarizer.availability()",StaticMethod,Writing Assistance APIs,Summarizer,131,OriginTrial,"","",""
"Translator API",Specification,Translator and Language Detector APIs,"",131,OriginTrial,"","https://developer.mozilla.org/en-US/docs/Web/API/Translator",""
"Translator",Interface,Translator and Language Detector APIs,"",131,OriginTrial,"","https://developer.mozilla.org/en-US/docs/Web/API/Translator",""
"Translator.create()",StaticMethod,Translator and Language Detector APIs,Translator,131,OriginTrial,"","",""
"Translator.translate()",Method,Translator and Language Detector APIs,Translator,131,OriginTrial,"","",""
"Translator.translateStreaming()",Method,Translator and Language Detector APIs,Translator,131,OriginTrial,"","",""
"LanguageDetector",Interface,Translator and Language Detector APIs,"",131,OriginTrial,"","https://developer.mozilla.org/en-US/docs/Web/API/LanguageDetector",""
"LanguageDetector.create()",StaticMethod,Translator and Language Detector APIs,LanguageDetector,131,OriginTrial,"","",""
"LanguageDetector.detect()",Method,Translator and Language Detector APIs,LanguageDetector,131,OriginTrial,"","",""
"Popover API",Specification,HTML,"",114,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Popover_API",""
"ToggleEvent",Interface,HTML,"",114,Stable,"","",""
"beforetoggle",Event,HTML,HTMLElement,114,Stable,"","",""
"popover",Attribute,HTML,HTMLElement,114,Stable,"","",""
"EditContext API",Specification,EditContext,"",121,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/EditContext_API",""
"EditContext",Interface,EditContext,"",121,Stable,"","",""
"WebGPU API",Specification,WebGPU,"",113,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/WebGPU_API","https://chromestatus.com/feature/5173131817877504"
"GPU",Interface,WebGPU,"",113,Stable,"","",""
"GPUAdapter",Interface,WebGPU,"",113,Stable,"","",""
"GPUDevice",Interface,WebGPU,"",113,Stable,"","",""
"WebTransport API",Specification,WebTransport,"",97,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/WebTransport_API",""
"WebTransport",Interface,WebTransport,"",97,Stable,"","",""
"Navigation API",Specification,Navigation,"",102,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Navigation_API",""
"NavigateEvent",Interface,Navigation,"",102,Stable,"","",""
"Navigation",Interface,Navigation,"",102,Stable,"","",""
"navigation",Property,Navigation,Window,102,Stable,"","",""
"Compression Streams API",Specification,Compression Streams,"",80,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Compression_Streams_API",""
"CompressionStream",Interface,Compression Streams,"",80,Stable,"","",""
"DecompressionStream",Interface,Compression Streams,"",80,Stable,"","",""
"URLPattern API",Specification,URL Pattern,"",95,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/URLPattern_API",""
"URLPattern",Interface,URL Pattern,"",95,Stable,"","",""
"Sanitizer API",Specification,HTML Sanitizer,"",105,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/HTML_Sanitizer_API",""
"Sanitizer",Interface,HTML Sanitizer,"",105,Stable,"","",""
"SanitizerConfig",Dictionary,HTML Sanitizer,"",105,Stable,"","",""
"File System Access API",Specification,File System,"",86,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/File_System_API",""
"FileSystemFileHandle",Interface,File System,"",86,Stable,"","",""
"FileSystemDirectoryHandle",Interface,File System,"",86,Stable,"","",""
"showOpenFilePicker()",Method,File System,Window,86,Stable,"","",""
"showSaveFilePicker()",Method,File System,Window,86,Stable,"","",""
"showDirectoryPicker()",Method,File System,Window,86,Stable,"","",""
"Web Bluetooth API",Specification,Web Bluetooth,"",74,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Web_Bluetooth_API",""
"Bluetooth",Interface,Web Bluetooth,"",74,Stable,"","",""
"Idle Detection API",Specification,Idle Detection,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Idle_Detection_API",""
"IdleDetector",Interface,Idle Detection,"",94,Stable,"","",""
"Compute Pressure API",Specification,Compute Pressure,"",125,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Compute_Pressure_API",""
"PressureObserver",Interface,Compute Pressure,"",125,Stable,"","",""
"Document Picture-in-Picture API",Specification,Document Picture-in-Picture,"",116,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Document_Picture-in-Picture_API",""
"documentPictureInPicture",Property,Document Picture-in-Picture,Window,116,Stable,"","",""
"Badging API",Specification,Badging,"",80,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Badging_API",""
"Contact Picker API",Specification,Contact Picker,"",80,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Contact_Picker_API",""
"Cookie Store API",Specification,Cookie Store,"",87,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Cookie_Store_API",""
"CookieStore",Interface,Cookie Store,"",87,Stable,"","",""
"Web Share API",Specification,Web Share,"",75,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Web_Share_API",""
"Web Locks API",Specification,Web Locks,"",69,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Web_Locks_API",""
"Trusted Types API",Specification,Trusted Types,"",83,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Trusted_Types_API",""
"FedCM API",Specification,FedCM,"",108,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/FedCM_API",""
"Fenced Frame API",Specification,Fenced Frame,"",108,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Fenced_Frame_API",""
"Topics API",Specification,Topics,"",108,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Topics_API",""
"Shared Storage API",Specification,Shared Storage,"",108,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Shared_Storage_API",""
"Speculation Rules API",Specification,Speculation Rules,"",106,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Speculation_Rules_API",""
"Viewport Segments API",Specification,Viewport Segments,"",100,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Viewport_Segments_API",""
"Device Posture API",Specification,Device Posture,"",106,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Device_Posture_API",""
"DevicePosture",Interface,Device Posture,"",106,Stable,"","",""
"Multiscreen Window Placement",Specification,Window Management,"",100,Stable,"","",""
"VirtualKeyboard API",Specification,VirtualKeyboard,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/VirtualKeyboard_API",""
"VirtualKeyboard",Interface,VirtualKeyboard,"",94,Stable,"","",""
"EyeDropper API",Specification,EyeDropper,"",95,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/EyeDropper_API",""
"EyeDropper",Interface,EyeDropper,"",95,Stable,"","",""
"Local Font Access API",Specification,Local Font Access,"",103,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Local_Font_Access_API",""
"FontData",Interface,Local Font Access,"",103,Stable,"","",""
"Clipboard API (write)",Specification,Clipboard,"",76,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Clipboard_API",""
"ClipboardItem",Interface,Clipboard,"",76,Stable,"","",""
"Keyboard Map API",Specification,Keyboard,"",72,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Keyboard_API",""
"KeyboardLayoutMap",Interface,Keyboard,"",72,Stable,"","",""
"WebSocketStream",Interface,WebSocketStream,"",124,Experimental,"","https://developer.mozilla.org/en-US/docs/Web/API/WebSocketStream",""
"Invoker Commands API",Specification,Invoker Commands,"",120,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Invoker_Commands_API",""
"CommandEvent",Interface,Invoker Commands,"",120,Stable,"","",""
"HTMLSelectedContentElement",Interface,HTML,"",131,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/HTMLSelectedContentElement",""
"RTCRtpEncodingParameters.degradationPreference",EnumValue,WebRTC,RTCRtpEncodingParameters,86,Stable,"","",""
"getDisplayMedia {video.cursor}",Constraint,Screen Capture,"",89,Stable,"","",""
"displaySurface 'browser'",EnumValue,Screen Capture,MediaTrackConstraints,72,Stable,"","",""
"displaySurface 'monitor'",EnumValue,Screen Capture,MediaTrackConstraints,72,Stable,"","",""
"displaySurface 'window'",EnumValue,Screen Capture,MediaTrackConstraints,72,Stable,"","",""
"EncodedAudioChunk",Interface,WebCodecs,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/EncodedAudioChunk",""
"CSS Typed OM",Specification,CSS Typed OM,"",66,Stable,"","",""
"CSS Properties and Values API",Specification,CSS Properties and Values,"",72,Stable,"","",""
"CSS.registerProperty()",Method,CSS Properties and Values,CSS,78,Stable,"","",""
"Resize Observer API",Specification,Resize Observer,"",64,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Resize_Observer_API",""
"ResizeObserver",Interface,Resize Observer,"",64,Stable,"","",""
"Intersection Observer API",Specification,Intersection Observer,"",51,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Intersection_Observer_API",""
"Sensor APIs",Specification,Sensor,"",67,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Sensor_APIs",""
"AbsoluteOrientationSensor",Interface,Sensor,"",67,Stable,"","",""
"WebHID API",Specification,WebHID,"",89,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/WebHID_API",""
"Web Serial API",Specification,Web Serial,"",89,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Web_Serial_API",""
"Web NFC API",Specification,Web NFC,"",89,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Web_NFC_API",""
"WebUSB API",Specification,WebUSB,"",61,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/WebUSB_API",""
"Web MIDI API",Specification,Web MIDI,"",43,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Web_MIDI_API",""
"Subresource Integrity",Specification,SRI,"",46,Stable,"","",""
"Content Index API",Specification,Content Index,"",72,Stable,"","",""
"Periodic Background Sync",Specification,Periodic Background Sync,"",80,Stable,"","",""
"Background Fetch API",Specification,Background Fetch,"",74,Stable,"","",""
"Web Share Target",Specification,Web Share Target,"",76,Stable,"","",""
"Web Authentication API",Specification,WebAuthn,"",67,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Web_Authentication_API",""
"PublicKeyCredential",Interface,WebAuthn,"",67,Stable,"","",""
"AudioSession",Interface,Audio Session,"",121,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/AudioSession",""
"AudioPlaybackStats",Interface,Audio,"",121,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/AudioPlaybackStats",""
"CloseWatcher",Interface,CloseWatcher,"",120,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/CloseWatcher",""
"Ink API",Specification,Ink,"",94,Experimental,"","https://developer.mozilla.org/en-US/docs/Web/API/Ink_API",""
"MathMLElement",Interface,MathML,"",100,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/MathMLElement",""
"MediaSourceHandle",Interface,Media Source,"",108,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/MediaSourceHandle",""
"ManagedMediaSource",Interface,Media Source,"",124,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/ManagedMediaSource",""
"FileSystemObserver",Interface,File System,"",130,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/FileSystemObserver",""
"@view-transition MPA",AtRule,CSS View Transitions,"",126,Stable,"","",""
"CSSViewTransitionRule",Interface,CSS View Transitions,"",126,Stable,"","",""
":active-view-transition",PseudoClass,CSS View Transitions,"",126,Stable,"","",""
"FragmentDirective",Interface,URL Fragment Text Directives,"",89,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/FragmentDirective",""
"scroll-to-text-fragment",Feature,URL Fragment Text Directives,"",80,Stable,"","",""
"DelegatedInkTrailPresenter",Interface,Ink,"",94,Experimental,"","",""
"UserActivation",Interface,HTML,"",77,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/UserActivation",""
"navigator.userActivation",Property,HTML,Navigator,77,Stable,"","",""
"Scheduler API",Specification,Prioritized Task Scheduling,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Prioritized_Task_Scheduling_API",""
"Scheduler.postTask()",Method,Prioritized Task Scheduling,Scheduler,94,Stable,"","",""
"scheduler",Property,Prioritized Task Scheduling,Window,94,Stable,"","",""
"CSSNestedDeclarations",Interface,CSSOM,"",130,Stable,"","",""
"CSSStartingStyleRule",Interface,CSSOM,"",130,Stable,"","",""
"CSSFunctionDeclarations",Interface,CSSOM,"",130,Stable,"","",""
"CSSPositionTryRule",Interface,CSSOM,"",130,Stable,"","",""
"CSSFunctionDescriptors",Interface,CSSOM,"",130,Stable,"","",""
"WGSLLanguageFeatures",Interface,WebGPU,"",130,Stable,"","",""
"fetchLater()",Method,Fetch,"",121,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/FetchLaterResult",""
"FetchLaterResult",Interface,Fetch,"",121,Stable,"","",""
"SharedWorker",Interface,Web Workers,"",4,Stable,"","",""
"BroadcastChannel",Interface,Broadcast Channel,"",54,Stable,"","",""
"Web Animations API",Specification,Web Animations,"",52,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Web_Animations_API",""
"ScrollTimeline",Interface,Scroll-driven Animations,"",115,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/ScrollTimeline",""
"ViewTimeline",Interface,Scroll-driven Animations,"",115,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/ViewTimeline",""
"scroll-timeline",CSSProperty,Scroll-driven Animations,"",115,Stable,"","",""
"view-timeline",CSSProperty,Scroll-driven Animations,"",115,Stable,"","",""
"animation-timeline",CSSProperty,Scroll-driven Animations,"",115,Stable,"","",""
"CSSCounterStyleRule",Interface,CSSOM,"",91,Stable,"","",""
"CSSFontPaletteValuesRule",Interface,CSSOM,"",110,Stable,"","",""
"CSSViewTransitionRule",Interface,CSSOM,"",126,Stable,"","",""
